STATION,NAME,DATE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-12,43,32,44,46,43,46,55,45,44,54,50,43,48,47,59,66,42,48,46,46,63,45,58,52,52,49,53,52,50,59,52,55,42,52,49,53,51,47,45,61,52,43,38,49,57,50,51,41,59,49,53,52,42,47,45,52,62,47,56,53,50,46,54,54,47,52,54,62,57,51,47,40,48,34,56,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-13,47,34,52,49,45,40,49,51,39,45,50,47,47,46,51,52,47,47,45,44,55,47,52,56,45,53,49,45,51,57,53,55,42,54,53,52,50,46,39,55,50,41,36,53,54,50,48,37,59,46,48,50,48,47,44,48,58,45,49,51,49,45,52,52,45,49,55,60,50,57,48,39,48,31,57,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-14,46,38,54,53,44,48,45,48,40,44,47,39,50,48,51,55,45,46,45,44,53,49,51,56,45,46,51,42,47,57,51,42,39,52,53,48,50,48,43,52,46,44,34,63,61,44,47,37,60,50,49,45,42,44,49,52,49,43,46,47,48,47,53,50,44,49,53,58,53,58,44,44,50,38,48,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-15,45,42,54,46,41,43,46,46,24,47,53,46,47,44,53,49,45,47,47,45,53,54,48,49,51,50,55,35,45,55,47,47,37,50,55,53,51,47,53,53,47,47,37,54,52,44,48,45,65,56,50,50,47,43,58,51,51,44,46,53,45,46,55,46,45,56,52,54,54,54,45,47,46,44,50,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-16,52,48,50,48,41,48,55,47,25,54,54,47,45,44,54,54,45,51,44,46,54,52,51,51,51,57,48,42,52,58,47,46,46,56,53,53,49,46,43,48,50,41,38,49,52,39,50,48,58,58,54,49,46,39,49,50,51,51,47,51,51,48,54,44,45,52,49,59,54,53,47,44,48,51,51,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-17,57,46,54,41,42,43,57,42,33,55,57,53,47,48,53,49,46,58,47,49,53,57,46,51,46,51,45,45,47,54,52,51,47,52,51,55,50,47,40,48,48,43,32,49,47,40,46,51,55,51,54,46,48,50,48,49,52,52,38,58,49,50,51,44,50,49,47,61,63,56,49,43,48,48,47,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-18,49,40,52,43,44,43,40,41,41,52,61,46,47,44,53,53,52,52,54,47,54,54,48,46,57,49,47,48,45,62,51,48,50,52,48,49,52,51,40,47,50,50,38,51,45,44,47,56,55,45,52,49,49,50,51,50,52,54,44,46,56,54,59,49,44,46,48,54,51,45,39,45,48,45,49,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-19,45,33,46,44,38,46,48,41,45,38,55,45,49,51,48,55,51,52,50,47,55,50,52,44,52,47,48,47,43,67,59,46,51,56,54,53,51,43,37,48,53,48,43,51,48,41,47,58,48,46,53,48,55,51,49,47,50,48,48,46,51,51,59,43,44,51,47,51,50,47,37,43,55,50,46,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-20,45,39,46,49,39,44,50,45,46,34,57,56,47,54,45,54,51,48,57,50,55,47,57,45,48,52,51,44,47,62,53,50,47,48,58,53,54,45,48,51,48,52,46,51,46,45,47,60,53,49,50,52,58,54,50,50,50,50,41,44,53,52,57,45,46,46,50,52,51,45,36,43,58,49,48,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",02-21,49,47,47,47,43,45,50,49,43,40,56,55,47,51,50,56,50,41,65,49,55,49,62,46,50,67,51,44,57,57,60,44,46,53,44,56,47,48,41,47,45,51,47,53,58,40,48,52,43,50,48,48,48,56,56,50,56,53,47,50,53,55,57,45,50,44,44,54,50,48,34,47,54,51,42,44
